date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:55	4388/4388	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22585c3506-1124%22	https://stripe.com/img/v3/home/app-illustrations/handy.svg	~/httrack-copies/stripe/stripe.com/img/v3/home/app-illustrations/handy.svg	(from https://stripe.com/)
15:41:55	5378/5378	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22585c3506-1502%22	https://stripe.com/img/v3/home/app-illustrations/asana.svg	~/httrack-copies/stripe/stripe.com/img/v3/home/app-illustrations/asana.svg	(from https://stripe.com/)
15:41:55	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2013%20Jan%202017%2023:41:55%20GMT	https://stripe.com/payments	~/httrack-copies/stripe/stripe.com/payments	(from https://stripe.com/)
15:41:56	4145/4145	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22585c3506-1031%22	https://stripe.com/img/v3/home/customer-logos/kickstarter.svg	~/httrack-copies/stripe/stripe.com/img/v3/home/customer-logos/kickstarter.svg	(from https://stripe.com/)
15:41:56	575/575	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22585c3506-23f%22	https://stripe.com/img/v3/home/customer-logos/twitter.svg	~/httrack-copies/stripe/stripe.com/img/v3/home/customer-logos/twitter.svg	(from https://stripe.com/)
15:41:56	4504/4504	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22585c3506-1198%22	https://stripe.com/img/v3/home/customer-logos/instacart.svg	~/httrack-copies/stripe/stripe.com/img/v3/home/customer-logos/instacart.svg	(from https://stripe.com/)
15:41:56	778/778	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22585c3506-30a%22	https://stripe.com/img/v3/home/customer-logos/pinterest.svg	~/httrack-copies/stripe/stripe.com/img/v3/home/customer-logos/pinterest.svg	(from https://stripe.com/)
15:41:57	1181/1181	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22585c3506-49d%22	https://stripe.com/img/v3/home/customer-logos/lyft.svg	~/httrack-copies/stripe/stripe.com/img/v3/home/customer-logos/lyft.svg	(from https://stripe.com/)
15:41:57	2566/2566	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22585c3506-a06%22	https://stripe.com/img/v3/home/customer-logos/shopify.svg	~/httrack-copies/stripe/stripe.com/img/v3/home/customer-logos/shopify.svg	(from https://stripe.com/)
15:41:57	3558/3558	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22585c3506-de6%22	https://stripe.com/img/v3/home/customer-logos/opentable.svg	~/httrack-copies/stripe/stripe.com/img/v3/home/customer-logos/opentable.svg	(from https://stripe.com/)
15:41:57	2445/2445	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22585c3506-98d%22	https://stripe.com/img/v3/home/customer-logos/slack.svg	~/httrack-copies/stripe/stripe.com/img/v3/home/customer-logos/slack.svg	(from https://stripe.com/)
15:41:58	51531/51531	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:57%20GMT	https://stripe.com/contact/sales	~/httrack-copies/stripe/stripe.com/contact/sales.html	(from https://stripe.com/)
15:41:58	66545/66545	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:58%20GMT	https://stripe.com/global	~/httrack-copies/stripe/stripe.com/global.html	(from https://stripe.com/)
15:41:58	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2013%20Jan%202017%2023:41:58%20GMT	https://stripe.com/payments	~/httrack-copies/stripe/stripe.com/payments	(from https://stripe.com/)
15:41:58	55600/55600	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:58%20GMT	https://stripe.com/press	~/httrack-copies/stripe/stripe.com/press.html	(from https://stripe.com/)
15:41:58	14150/14150	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:58%20GMT	https://stripe.com/contact	~/httrack-copies/stripe/stripe.com/contact.html	(from https://stripe.com/)
15:41:59	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2013%20Jan%202017%2023:41:58%20GMT	https://stripe.com/privacy	~/httrack-copies/stripe/stripe.com/privacy	(from https://stripe.com/)
15:41:59	21944/21944	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:59%20GMT	https://stripe.com/us/privacy	~/httrack-copies/stripe/stripe.com/us/privacy.html	(from https://stripe.com/)
15:41:59	600/600	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2013%20Jan%202017%2023:41:59%20GMT	https://stripe.com/assets/config-aead70c07cdca45cec67e4141bf18edc.js	~/httrack-copies/stripe/stripe.com/assets/config-aead70c07cdca45cec67e4141bf18edc.js	(from https://stripe.com/)
15:41:59	98/98	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2013%20Jan%202017%2023:41:59%20GMT	https://stripe.com/assets/analytics-e800ab0ba76de2b697ea3f61c673695b.js	~/httrack-copies/stripe/stripe.com/assets/analytics-e800ab0ba76de2b697ea3f61c673695b.js	(from https://stripe.com/)
15:41:59	59/59	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2013%20Jan%202017%2023:41:59%20GMT	https://stripe.com/assets/mirador_ping-6bba7d3d9fbb1e991b7f0f8fab43b2b1.js	~/httrack-copies/stripe/stripe.com/assets/mirador_ping-6bba7d3d9fbb1e991b7f0f8fab43b2b1.js	(from https://stripe.com/)
15:42:00	16108/16108	---M--	200	added ('OK')	application/octet-stream	etag:%22585c3506-3eec%22	https://stripe.com/fonts/camphor-ss/300-light-italic.woff2	~/httrack-copies/stripe/stripe.com/fonts/camphor-ss/300-light-italic.woff2	(from https://stripe.com/assets/v3/default-ef2bff54073622b9e08cf24466b5668f.css)
15:42:00	23484/23484	---M--	200	added ('OK')	application/font-woff	etag:%22585c3506-5bbc%22	https://stripe.com/fonts/camphor-ss/300-light-italic.woff	~/httrack-copies/stripe/stripe.com/fonts/camphor-ss/300-light-italic.woff	(from https://stripe.com/assets/v3/default-ef2bff54073622b9e08cf24466b5668f.css)
15:42:00	16100/16100	---M--	200	added ('OK')	application/octet-stream	etag:%22585c3506-3ee4%22	https://stripe.com/fonts/camphor-ss/400-regular-italic.woff2	~/httrack-copies/stripe/stripe.com/fonts/camphor-ss/400-regular-italic.woff2	(from https://stripe.com/assets/v3/default-ef2bff54073622b9e08cf24466b5668f.css)
15:42:00	21756/21756	---M--	200	added ('OK')	application/font-woff	etag:%22585c3506-54fc%22	https://stripe.com/fonts/camphor-ss/400-regular-italic.woff	~/httrack-copies/stripe/stripe.com/fonts/camphor-ss/400-regular-italic.woff	(from https://stripe.com/assets/v3/default-ef2bff54073622b9e08cf24466b5668f.css)
15:42:01	15628/15628	---M--	200	added ('OK')	application/octet-stream	etag:%22585c3506-3d0c%22	https://stripe.com/fonts/camphor-ss/500-medium-italic.woff2	~/httrack-copies/stripe/stripe.com/fonts/camphor-ss/500-medium-italic.woff2	(from https://stripe.com/assets/v3/default-ef2bff54073622b9e08cf24466b5668f.css)
15:42:01	20988/20988	---M--	200	added ('OK')	application/font-woff	etag:%22585c3506-51fc%22	https://stripe.com/fonts/camphor-ss/500-medium-italic.woff	~/httrack-copies/stripe/stripe.com/fonts/camphor-ss/500-medium-italic.woff	(from https://stripe.com/assets/v3/default-ef2bff54073622b9e08cf24466b5668f.css)
15:42:01	15464/15464	---M--	200	added ('OK')	application/octet-stream	etag:%22585c3506-3c68%22	https://stripe.com/fonts/camphor-ss/600-bold-italic.woff2	~/httrack-copies/stripe/stripe.com/fonts/camphor-ss/600-bold-italic.woff2	(from https://stripe.com/assets/v3/default-ef2bff54073622b9e08cf24466b5668f.css)
15:42:01	20600/20600	---M--	200	added ('OK')	application/font-woff	etag:%22585c3506-5078%22	https://stripe.com/fonts/camphor-ss/600-bold-italic.woff	~/httrack-copies/stripe/stripe.com/fonts/camphor-ss/600-bold-italic.woff	(from https://stripe.com/assets/v3/default-ef2bff54073622b9e08cf24466b5668f.css)
15:42:01	11880/11880	---M--	200	added ('OK')	application/octet-stream	etag:%22585c3506-2e68%22	https://stripe.com/fonts/sourcecodepro-ss/SourceCodePro-Medium.woff2	~/httrack-copies/stripe/stripe.com/fonts/sourcecodepro-ss/SourceCodePro-Medium.woff2	(from https://stripe.com/assets/v3/default-ef2bff54073622b9e08cf24466b5668f.css)
15:42:02	12916/12916	---M--	200	added ('OK')	application/font-woff	etag:%22585c3506-3274%22	https://stripe.com/fonts/sourcecodepro-ss/SourceCodePro-Medium.woff	~/httrack-copies/stripe/stripe.com/fonts/sourcecodepro-ss/SourceCodePro-Medium.woff	(from https://stripe.com/assets/v3/default-ef2bff54073622b9e08cf24466b5668f.css)
15:42:02	11908/11908	---M--	200	added ('OK')	application/octet-stream	etag:%22585c3506-2e84%22	https://stripe.com/fonts/sourcecodepro-ss/SourceCodePro-Bold.woff2	~/httrack-copies/stripe/stripe.com/fonts/sourcecodepro-ss/SourceCodePro-Bold.woff2	(from https://stripe.com/assets/v3/default-ef2bff54073622b9e08cf24466b5668f.css)
